breed;size;exercise;size_home;grooming;coat_length;sheeds;life_time;vulnerable_breed;town_country;garden_size;BREED_CATEGORY;BREED_CATEGORY_DESCRIPTION;BREED_ISSUES
Newfoundland;Large;Up to 1 hour per day;Large house;Every day;Medium;Yes;Under 10 years;No;Country;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
Norfolk Terrier;Small;Up to 1 hour per day;Flat/ Apartment;More than once a week;Medium;Yes;Over 10 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Norwegian Buhund;Medium;Up to 1 hour per day;Small house;More than once a week;Short;Yes;Over 12 years;No;Either;Small/ medium garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Norwegian Elkhound;Medium;Up to 1 hour per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Either;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Norwich Terrier;Small;Up to 1 hour per day;Flat/ Apartment;More than once a week;Medium;Yes;Over 10 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Old English Sheepdog;Large;More than 2 hours per day;Large house;Every day;Long;Yes;Over 10 years;No;Either;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Otterhound;Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Country;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Papillon;Small;Up to 30 minutes per day;Flat/ Apartment;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Parson Russell Terrier;Small;Up to 1 hour per day;Small house;Once a week;Short;Yes;Over 12 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Pekingese;Small;Up to 30 minutes per day;Flat/ Apartment;Every day;Long;Yes;Over 12 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Pharaoh Hound;Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Over 10 years;No;Country;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Picardy Sheepdog (Imp);Medium;Up to 1 hour per day;Small house;Once a week;Medium;Yes;Over 10 years;No;Country;Small/ medium garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Pointer;Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Over 12 years;No;Either;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Polish Hunting Dog (Imp);Medium-Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Over 10 years;No;Either;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Polish Lowland Sheepdog;Medium;More than 2 hours per day;Small house;Every day;Long;Yes;Over 10 years;No;Either;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Pomeranian;Small;Up to 30 minutes per day;Flat/ Apartment;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Poodle (Miniature);Small-Medium;Up to 1 hour per day;Small house;Every day;Medium;No;Over 12 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Poodle (Standard);Medium;Up to 1 hour per day;Large house;Every day;Medium;No;Over 12 years;No;Either;Large garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Poodle (Toy);Small;Up to 1 hour per day;Flat/ Apartment;Every day;Medium;No;Over 12 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Portuguese Podengo;Small;Up to 30 minutes per day;Small house;Once a week;Short;Yes;Over 10 years;No;Either;Small/ medium garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Portuguese Pointer (Imp);Medium;Up to 1 hour per day;Large house;Once a week;Short;Yes;Over 10 years;No;Either;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Portuguese Water Dog;Medium;Up to 1 hour per day;Large house;Every day;Medium;No;Over 10 years;No;Either;Small/ medium garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
Pug;Small;Up to 1 hour per day;Flat/ Apartment;Once a week;Short;Yes;Over 10 years;Yes;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;Pugs are generally healthy   but they are often considered to have a few issues due to their predisposition to several medical conditions. Like other brachycephalic breeds   Pugs are prone to breathing difficulties caused by brachycephalic airway syndrome   a result of their shortened skull structure. Their prominent eyes make them vulnerable to eye issues such as proptosis (eye displacement) and corneal ulcers. Pugs can also suffer from hip dysplasia   a joint condition that affects their mobility.
Pyrenean Mastiff (Imp);Large;Up to 1 hour per day;Large house;Every day;Medium;Yes;Under 10 years;No;Either;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
Pyrenean Mountain Dog;Large;Up to 1 hour per day;Large house;More than once a week;Medium;Yes;Under 10 years;No;Either;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Pyrenean Sheepdog (Long Haired);Medium;Up to 1 hour per day;Small house;More than once a week;Medium;Yes;Under 10 years;No;Either;Small/ medium garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Pyrenean Sheepdog (Smooth Faced) (Imp);Medium;Up to 1 hour per day;Small house;More than once a week;Medium;Yes;Under 10 years;No;Either;Small/ medium garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Retriever (Chesapeake Bay);Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Over 10 years;No;Country;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Retriever (Curly Coated);Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Either;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Retriever (Flat Coated);Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Under 10 years;No;Either;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Retriever (Golden);Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Either;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Retriever (Labrador);Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Over 10 years;No;Either;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Retriever (Nova Scotia Duck Tolling);Medium;Up to 1 hour per day;Small house;More than once a week;Medium;Yes;Under 10 years;No;Either;Small/ medium garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Rhodesian Ridgeback;Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Over 10 years;No;Either;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Rottweiler;Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Under 10 years;Yes;Either;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;Rottweilers are generally a strong and healthy breed   but they are prone to several orthopedic and cardiac health issues. Hip and elbow dysplasia are fairly common in Rottweilers   often leading to joint pain and reduced mobility as they age. They are also at risk for osteochondritis dissecans (OCD)   a condition where abnormal cartilage development can cause joint discomfort and lameness   especially in growing puppies. Another serious concern is dilated cardiomyopathy (DCM)   a heart disease that weakens the heart muscle and affects its ability to pump blood efficiently.
Russian Black Terrier;Large;More than 2 hours per day;Large house;Every day;Medium;No;Over 10 years;No;Either;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
Russian Toy;Small;Up to 1 hour per day;Flat/ Apartment;Every day;Short;Yes;Over 12 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Saluki;Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Over 12 years;No;Country;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Samoyed;Medium;More than 2 hours per day;Large house;Every day;Medium;Yes;Over 10 years;No;Country;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Schipperke;Small;Up to 1 hour per day;Flat/ Apartment;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Schnauzer;Medium;Up to 1 hour per day;Small house;More than once a week;Medium;Yes;Over 10 years;Yes;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;Miniature Schnauzers are lively and affectionate dogs   but they are predisposed to certain health conditions that require careful attention. Pancreatitis is a common issue in the breed and can cause abdominal pain   vomiting   and loss of appetite?often triggered by fatty foods. Miniature Schnauzers are also at risk for heart disease   particularly as they age   which can impact their energy levels and breathing. Kidney stones are another concern   often requiring dietary management or medical intervention to prevent urinary blockages. Additionally   they may develop diabetes   a condition that needs to be managed with a consistent diet   exercise   and insulin therapy.
Scottish Terrier;Small;Up to 1 hour per day;Small house;Every day;Long;Yes;Over 10 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Sealyham Terrier;Small;Up to 1 hour per day;Small house;Every day;Long;No;Over 10 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Shar Pei;Medium;Up to 1 hour per day;Small house;Once a week;Short;Yes;Over 10 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Shetland Sheepdog;Small;Up to 1 hour per day;Small house;Every day;Medium;Yes;Over 10 years;No;Either;Small/ medium garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Shih Tzu;Small;Up to 1 hour per day;Flat/ Apartment;Every day;Long;No;Over 10 years;Yes;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;Shih Tzus are a charming and affectionate breed   but they can be prone to several health issues that owners should be mindful of. Due to their small mouths and crowded teeth   periodontal disease is common and can lead to pain   infection   and tooth loss if not properly managed with regular dental care. Anal gland impaction is another issue seen in the breed   which can cause discomfort and may require routine expression or veterinary treatment. Shih Tzus are also prone to luxating patellas   a condition where the kneecap slips out of place   leading to lameness or difficulty walking. As a brachycephalic breed   they may also suffer from brachycephalic airway syndrome   which can cause breathing difficulties   especially in hot or humid weather.
Siberian Husky;Medium-Large;More than 2 hours per day;Large house;More than once a week;Short;Yes;Over 10 years;Yes;Country;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;Siberian Huskies are typically a hardy and energetic breed   but they can be prone to a few specific health issues. Cataracts are relatively common in Huskies and can affect their vision   sometimes leading to blindness if left untreated. Like many medium to large breeds   they can also develop hip dysplasia   which may cause joint pain and mobility problems over time. A unique concern in Huskies is zinc-responsive dermatosis   a skin condition that results from poor zinc absorption and can lead to hair loss   crusty skin   and infections if not managed properly. Additionally   some Huskies may experience epilepsy   which can cause recurring seizures.
Skye Terrier;Small-Medium;Up to 1 hour per day;Small house;More than once a week;Long;Yes;Over 12 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Sloughi;Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Under 10 years;No;Country;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Slovakian Rough Haired Pointer (Imp);Large;Up to 1 hour per day;Large house;Once a week;Medium;No;Over 10 years;No;Country;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Small Munsterlander (Imp)s;Medium;Up to 1 hour per day;Small house;Once a week;Medium;Yes;Over 10 years;No;Country;Small/ medium garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Soft Coated Wheaten Terrier;Medium;Up to 1 hour per day;Small house;Every day;Medium;No;Over 12 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Spaniel (American Cocker);Small;More than 2 hours per day;Small house;Every day;Long;Yes;Over 10 years;No;Either;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Spaniel (American Water) (Imp);Medium;Up to 1 hour per day;Small house;Once a week;Medium;No;Over 10 years;No;Either;Small/ medium garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Spaniel (Clumber);Large;Up to 1 hour per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Country;Small/ medium garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Spaniel (Cocker);Small;Up to 1 hour per day;Small house;Every day;Medium;Yes;Over 10 years;No;Either;Small/ medium garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Spaniel (English Springer);Medium;More than 2 hours per day;Small house;More than once a week;Medium;Yes;Over 10 years;No;Either;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Spaniel (Field);Medium;More than 2 hours per day;Small house;More than once a week;Medium;Yes;Over 10 years;No;Country;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Spaniel (Irish Water);Medium;More than 2 hours per day;Large house;More than once a week;Medium;No;Under 10 years;No;Country;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Spaniel (Sussex);Medium;More than 2 hours per day;Small house;More than once a week;Medium;Yes;Over 10 years;No;Country;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Spaniel (Welsh Springer);Medium;More than 2 hours per day;Small house;More than once a week;Medium;Yes;Over 10 years;No;Either;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Spanish Water Dog;Medium;Up to 1 hour per day;Small house;More than once a week;Medium;No;Over 10 years;No;Country;Small/ medium garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
St. Bernard;Extra large;Up to 1 hour per day;Large house;More than once a week;Short;Yes;Under 10 years;No;Either;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
Staffordshire Bull Terrier;Small;Up to 1 hour per day;Small house;Once a week;Short;Yes;Over 12 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Swedish Lapphund (Imp);Medium;Up to 1 hour per day;Small house;Once a week;Medium;Yes;Over 10 years;No;Either;Small/ medium garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Swedish Vallhund;Small;Up to 1 hour per day;Small house;Once a week;Short;Yes;Over 10 years;No;Either;Small/ medium garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Tibetan Mastiff;Large;Up to 1 hour per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Either;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
Tibetan Spaniel;Small;Up to 1 hour per day;Flat/ Apartment;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Tibetan Terrier;Medium;Up to 1 hour per day;Small house;Every day;Long;No;Over 12 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Turkish Kangal Dog;Large;More than 2 hours per day;Large house;More than once a week;Short;Yes;Over 10 years;No;Country;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Weimaraner;Large;More than 2 hours per day;Large house;Once a week;Short & long;Yes;Over 10 years;No;Either;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
