"DOG_NAME","breed","age","gender","description","shelter_address","shelter_name"
Aria,Maremmano-Mischling,"10 months",Female,"Youngster Aria happily accompanies her caregivers and curiously explores her surroundings on walks.
Aria is a livestock guardian dog mix, and with these dogs, the behavior of an adult dog develops gradually and much more slowly than with smaller dogs. This means that Aria will remain a ""child"" for quite some time.
Her future owners should be prepared for a certain amount of watchfulness—this is completely normal for livestock guardian dogs.

","Eichholz, 70794 Filderstadt, Germany",Tierschutzverein Tierfreunde Filderstadt e.V.
Moritz,Kangal-Kaukasier,"4 years",Male,"Our Moritz came to us as a surrendered dog and is now looking for a loving home with a securely fenced property with experienced dog owners who are familiar with caring for this breed. 🐕
This big guy is also not averse to long walks. He loves children, and according to his previous owner, he also gets along well with cats. 🐾❤️ With other dogs, it's all about sympathy.
Has Moritz piqued your interest? Then please contact us at the animal shelter. 🐾","Stadion Unterbach, Jahnweg 8, 78549 Spaichingen, Deutschland",Tierschutzverein Menschen für Tiere e.V. Spaichingen
Meda,Mischling ,"10 months",Male,"SOS Forgotten Paws e.V.
Charming young dog seeks his forever home! My name is Meda. I am a handsome male dog, born in February 2025, about 49 cm tall, and looking for my forever family. I feel incredibly comfortable in my foster home, but unfortunately, I can't stay here permanently. I love being around people, cuddling, and learning new things. I am a playful and very cheerful boy who is always enthusiastic about discovering new things. I am a little timid around men at first, but this can be overcome with patience, love, time, and sometimes a few treats. I get along wonderfully with other dogs and would therefore be ideal as a second dog. I simply feel safer and more comfortable with them by my side. Children are welcome in my new home, but they should be older and experienced with dogs, as I'm still young and sometimes a bit boisterous. I generally find cats interesting, but sometimes my hunting instinct comes out, which can certainly be managed with some training, as I'm very affectionate and not aggressive. I'm looking for people who have the time, patience, and joy to grow with me. Attending dog training classes would be perfect so I can learn even more and develop into a truly wonderful companion. If you're looking for an affectionate, active, and intelligent friend who will give you their heart, then I'm the perfect companion for you. I am being rehomed through the animal welfare organization SOS Vergessene Pfoten Tierschutz e.V. (SOS Forgotten Paws Animal Welfare) with a protection contract and for a protection fee of €550. I am, of course, vaccinated, microchipped, and dewormed. I am also already registered with Tasso. You can purchase a suitable, like-new safety harness, collar, and leash for me from our club. This starter kit will ensure that I feel safe, secure, and well cared for from the very beginning. You are welcome to visit me in Wetter as often as you like. Please be honest with yourselves and only contact us if you are genuinely interested. And above all, I need a forever home! Our behavior trainer, Lili, can work with us. Of course, we have not only great photos of me, but also videos. Tel.: 0160/96925678 Your Meda","Alter Henkhauser Weg 58, 58119 Hagen, Deutschland",SOS Vergessene Pfoten e.V.
Dobby,Husky-Schäferhund-Mischling,"9 years",Male,"We adopted Dobby, a Husky-German Shepherd mix, from one of our member associations. He originally came to the shelter following a seizure.
Dobby tends to defend resources. This primarily concerns food and sleeping places. However, with a little management and reading his body language, this is easily manageable. He is used to wearing a muzzle, but this will need to be further trained in his new home.
For Dobby, we are looking for experienced owners who can read his body language and accept his signals. With consistency and empathy, he will become a loyal family member. Dobby desires a life on a large, fenced farm where he can look after the animals, but still be close to the family. Moving into an apartment is unfortunately not an option for him. If problems arise, we are always available to provide professional support to Dobby's new family.
The placement of one of our dogs usually proceeds as follows:","Hochkreit 8, 82401 Rottenbuch, Deutschland","Sonnenhof für Mensch und Tier, eine Einrichtung vom Deutschen Tierschutzbund e.V."
Charly,Terrier-Mix,"5 years","","",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Sulu,Rottweiler,"6 years",Male,"Our Sulu came to the animal shelter because his owners could no longer care for him due to health reasons. He's a dog that loves his owner, alert and dominant, but also insecure and easily jumpy.
Sulu knows basic commands and can be left alone for up to five hours. Driving in a car still stresses him out—but if he has someone he trusts with him, he'll go along with it. His great love: a piece of banana. 🙂
When Sulu is insecure, he can unfortunately snap. What he lacks is security and consistency, loving consistency, and experience with dogs. He defends his food and toys and barks at passersby. He also tends to bark at other dogs.
We would like Sulu to find a home with experience with dogs that can provide him with the necessary structure, security, and stability. He's still young, so attending dog training would certainly do him good and teach him a lot.","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
Oskar ,Labrador-Mix,"5 years",Male,"Our Oskar is looking for a wonderful home. He was born on January 17, 2020, is neutered, and a bundle of energy. Oskar definitely has a mind of his own; he's still quite boisterous and extremely reluctant to share his food. We're looking for a home with experience with dogs for him.","Zur Angel 20, 59227 Ahlen, Germany",Tierheim Ahlen
Santo,Thai Ridgeback,"3 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Bruno,Schnauzer-Mischling,"5 years",Male,"Bruno is a real whirlwind, wild and boisterous. He's eager to please and therefore makes every effort to learn as much as possible as quickly as possible.","Koppelweide 3, 51674 Wiehl, Germany",Tierheim Koppelweide
Spencer,Malinois-Mix,"9 years",Male,"Spencer is an incredibly sweet, loving, and affectionate guy towards his caregivers. Typically for his breed, he bonds closely with familiar people.
He is rather suspicious of strangers and needs a lot of time to get to know them. In situations that unsettle him or are not as ritualized as Spencer is used to, he becomes stressed. In such situations, he would use his teeth.
Once the ice is broken, however, he is a loyal companion who enjoys long walks and walks excellently on a leash. Spencer also knows all common basic commands.
He is an agile guy who also wants to be mentally challenged. However, Spencer is definitely a quiet representative of his breed and not necessarily suited as a sporting or working dog.","Eichholz, 70794 Filderstadt, Germany",Tierschutzverein Tierfreunde Filderstadt e.V.
Dobby,Mix,"4 years",Male,"He came to us some time ago as a rescue. He's now been released, and we're allowed to find the right home. Dobby is classified as dangerous due to a biting incident. This means he can only be walked on a leash and muzzle! He originally came to us as a puppy from abroad. We are now at least the fifth owner, even though he's only 3 years old. Dobby is at his best with us and is one of our dogs with the fewest problems. He can communicate clearly and subtly, both with other dogs and with people. He runs easily with our dog group. Dobby learns quickly and accepts rules and boundaries very well. Off-leash, he is curious about strangers. He's also friendly with children. He is alert but easily lets us break him off. We are looking for people for Dobby who are aware of their responsibility. Who will nevertheless take this dog seriously and not trivialize the biting incident. People who don't perceive the muzzle as something ""bad."" The muzzle doesn't restrict him, but rather allows him much more freedom. And he wears it without any problems. People who can read a dog's body language and who are interested in working with him, encouraging him, and taking him through the temperament test—which won't be a problem with him either.","Liebigstraße 51, 47608 Geldern, Germany",Tierheim Geldern
Gina,Cane Corso,"5 years",Female,"Unsere süße Gina kam als Sicherstellung zu uns.
Rassetypisch ist sie ihren Menschen sehr loyal gegenüber und tritt Fremden misstrauisch gegenüber.
Gina hat leider nicht viel an Erziehung kennengelernt.
Für sie suchen wir rasseerfahrene Menschen, die Lust und die Zeit haben, sie wohlwollend anzuleiten und mit gemeinsam zu lernen.","Liebigstraße 51, 47608 Geldern, Germany",Tierheim Geldern
Tyler,Galgo-Mix,"11 months",Male,"Tyler is a fearful, young male. He is socially compatible, which is why we would like to find a stable first dog for Tyler. Tyler is good on a leash, but he still has a lot to learn. He is very cautious around strangers. We see this reserved young dog in a rural setting with a house and land, and would also be happy with families with children over 13.","Ausbau 2a, 39288 Burg (bei Magdeburg), Deutschland",Tierheim Burg/Schartau
Mirella,Mischling ,"3 years",Female,"About me





","Alter Henkhauser Weg 58, 58119 Hagen, Deutschland",SOS Vergessene Pfoten e.V.
Marvel,Mischling,"4 years",Male,"We originally adopted the young mixed-breed male Marvel along with other young dogs from another animal welfare organization. After a long period of rehoming, he returned to Sonnenhof because his family was no longer able to cope with him, and he is now looking for a new home.
He gets along well with other dogs, depending on how well he gets along.
The placement of one of our dogs usually proceeds as follows:","Hochkreit 8, 82401 Rottenbuch, Deutschland","Sonnenhof für Mensch und Tier, eine Einrichtung vom Deutschen Tierschutzbund e.V."
Cookie,Staffordshire-Mix,"5 years",Female,"Cookie was confiscated for violating animal protection laws. Our animal keepers describe her as a princess with a few issues. Once she trusts someone, she's open-minded, a joyful little whirlwind, and cute. But she would bite in some everyday situations if left unsecured.
Cookie is easy to train, although food as a resource is a major source of conflict for her, and she already knows common basic commands. Hunting games are taboo for her. She is personable and currently only friendly to people she knows.
She cannot climb stairs and will receive free lifelong treatment at our veterinary practice for her severe knee arthritis and early arthritis in her elbows.
We are looking for a home for Cookie with knowledgeable breed experts. She will only be rehomed to people who already have experience dealing with dangerous dogs. In her new ground-floor home, she needs a fenced-off area. She is not suitable for children. Getting to know her at the shelter will require a longer period of regular visits. Please note that due to her breed, she must be muzzled and kept on a leash, and landlord permission is required for her care.","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
Spike,Hütehund-Mix,"7 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Lio,Malinois,"4 years","","",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Kamal,Schäferhund-Mix,"8 years",Male,"The beautiful Kamal comes from Ukraine and came to us via a seizure. He initially lived here with his girlfriend (the blonde dog in the pictures) – the two recovered from the traumatic events of their past under the loving care of their carers. The dog has since moved out, and Kamal is still looking for his new owners.
Kamal has an incredibly sad story: He and his girlfriend Sonya were probably originally street dogs. At some point, they were captured and taken to Kyiv's municipal animal shelter, Borodyanka. When the city came under fire in the spring of 2022, the director of the shelter and her staff fled the premises, leaving the animals locked up and uncared for. For five weeks, no one cared for the 485 dogs, among others. Only about 260 of them survived the gruesome ordeal; Kamal and Sonya were among the lucky ones. After their rescue, they lived for a few weeks at the home of a Ukrainian animal rights activist in Kyiv, who arranged a final home for them in the Netherlands—at least, that was the plan. On the way to the Netherlands, however, they were stranded in Berlin because one of the volunteer drivers for the onward transport had dropped out at short notice. Ultimately, the dogs were confiscated by the veterinary office and taken to an animal shelter. They were both still far too thin and extremely timid—no wonder. They have escaped the dog hell on earth.
After some time with us, with lots of good food, medical care, and attention, Kamal is finally ready to move into his forever home. This handsome male is a sweet, personable dog when trusted, but he is very difficult outside. Kamal is currently undergoing muzzle training with us because, on walks, he resolutely moves forward when passing strangers and dogs. Intensive individual work using humane methods with a good dog trainer is therefore strongly recommended. Kamal hasn't experienced much in his life so far, but he's trying very hard to understand what people want from him. Being left alone with other dogs is no problem, but whether he can stay completely alone would have to be tested and trained accordingly. Kamal sometimes reacts uncertainly and fearfully in new situations, and he panics at the vet. 🙁 A lot of sensitive, patient training will be necessary here to take some of the fear out of the necessary vet visits. If Kamal feels threatened, he might snap out of fear—he doesn't mean any harm. He defends his food. Who could blame him, after what he's been through?
Kamal is very happy to move in with a nice, confident female dog as a second dog. He likes his female companions very much, but with males, it's all about sympathy.","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
Pepito,Cane Corso,"4 years",Male,"Pepito came from a seizure of several Cane Corsos in August 2023.
Until his seizure, Pepito only knew life in a stable with an adjacent run in his previous group (pack housing). He didn't know a leash or the usual basic commands, such as eating from a food bowl, car rides, the inside of a house, etc.


When out for walks without major distractions, Pepito is mostly easy to walk on a leash. If he feels stressed, he may circle you – we still recommend using a safety harness (or a GPS tracker if necessary).","Augustfehner Straße 8, 26670 Uplengen, Germany",Tierheim Jübberde
Rexi,Zwergschnauzer-Mix,"3 years",Male,"Rexi originally came from a breeder and is currently in an animal shelter in Hungary.
The little dog, 34 cm and 6 kg, is still a bit shy and overwhelmed by all the new experiences.
He already walks on a leash quite well, and he shows no fear of people.
If you would like to adopt Rexi, please contact","91257 Pegnitz, Deutschland",RiesenSchnauzerNothilfe e.V.
Dotty,Schäferhund,"3 years","","",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Taffy,Mischling,"10 years",Female,"Taffy came to us as a surrender because she was becoming increasingly insecure in her old home and had even snapped. She's very reserved at first, but once she gains trust, she proves to be a real joker. She likes people who make her feel safe and can read their body language. She reacts more skeptically to men and children than to women. Since Taffy bonds quickly, she would be perfect with a single person and as an only dog.","Koppelweide 3, 51674 Wiehl, Germany",Tierheim Koppelweide
Koda,Kaukasen-Mix,"3 years","","",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Amica,Schäferhund,"10 years",Female,"Grandma Amica is a very sweet soul.
She is open and friendly towards everyone and enjoys being petted.
Amica loves going for walks and runs easily in a group of dogs. However, she doesn't listen very well anymore, so she has to stay on a leash. But she does this very well.
She is also a real dream dog in the home environment. She is house-trained and can be left alone for a few hours. The main thing is that she has a cozy basket in which she can take a comfortable nap.","Eichholz, 70794 Filderstadt, Germany",Tierschutzverein Tierfreunde Filderstadt e.V.
Shiwa,Terrier-Mix,"3 years",Female,"The pretty dog Shiwa is friendly, sociable, and loves to play with other dogs. In her new home, she would love to have a confident first dog to look up to.
Shiva is initially reserved and unsure of people. She needs some time to gain trust – but then she's already showing how much she enjoys closeness and affection. She particularly thrives when treats are involved, as food is a wonderful way to motivate and encourage her.
Since Shiwa has never had a real home before, she has a lot to learn. In the animal shelter, she's already house-trained and walks quite well on a leash. With patience and loving consistency, she'll surely make further progress quickly.
We're looking for a quiet, rural home for Shiwa with sensitive people who will give her time and help her settle in step by step. Children in the household should be older and understand a sensitive dog.","Ausbau 2a, 39288 Burg (bei Magdeburg), Deutschland",Tierheim Burg/Schartau
Bruno,Old English Bulldog – Boxer – Mischling,"7 years",Male,"
","Alfred-Gärtner-Platz 3, 97525 Schwebheim, Germany",Tierheim Schwebheim
Paco,Husky-Mischling,"8 years",Male,"Paco, a Husky mix, came to us at Sonnenhof from one of our member clubs, along with Tobi. They originally came to an animal shelter because their previous owners had sadly passed away.
Paco pulls a lot on the leash, and his strong need for exercise also makes it clear that he wants to be physically and mentally challenged. He is very eager to learn and enjoys training that keeps him busy while also providing him with clear structures.
The placement of one of our dogs usually proceeds as follows:","Hochkreit 8, 82401 Rottenbuch, Deutschland","Sonnenhof für Mensch und Tier, eine Einrichtung vom Deutschen Tierschutzbund e.V."
Marley,Harzer Fuchs-Schafspudel-Mix,"8 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Miko,Border Collie Mix,"7 years",Male,"Miko originally came from an animal protection organization abroad and was surrendered because he had bitten several times in the past. In the shelter, he gets along well with other male and female dogs, but due to his behavior towards people, he is better kept as an only dog. If he feels threatened, he reacts with noticeable aggression. However, he wears his muzzle reliably and will likely need it in various everyday situations.
Miko is a very sensitive dog who needs calm people who he can look up to. He already knows some basic commands and is house-trained. He is used to riding in the car, jumps into the car crate, and is calm during the journey. He has also shown himself to be very good on a leash in the shelter. He also loves water.
Our Miko is not a cuddly dog, but he wants to be close to his caregivers. He enjoys spending his breaks with his animal keepers at the shelter. He has difficulty dealing with stress and frustration and needs careful management, for example, when it comes to feeding. He defends resources and his territory.
Miko is not a dog for a hectic life in the city or an apartment building, where he encounters people he cannot avoid every day in confined spaces in the hallway and/or elevator. Simply ""tolerating"" situations is very difficult for him. He is therefore looking for a home in a more rural, quiet environment with a house or apartment with a separate entrance.","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
Blue,Labrador-Aussi-Mix,"3 years",Male,"Blue came to our shelter as a surrendered dog. Everyday life in the shelter isn't easy for him. He's insecure and seems somewhat overwhelmed by the situation. Blue's trust has to be earned, which he finds noticeably easier with women than with men. Once his trust has been gained, he is very exuberant, playful, and happy, but also very protective. Blue knows basic commands such as sit and stay, but he still needs a certain amount of basic training regarding his behavior. He currently defends what he considers a boundary violation with growling and defensive, threatening body language, so he is currently only walked with a muzzle, which is not a problem for him. He is a very intelligent and eager-to-learn dog with a considerable hunting instinct, who, with appropriate training, will grow into a very confident dog. For Blue, we're looking for a home with a lot of dog experience, without children, where we can continue to work with him, possibly with professional support. His compatibility with other dogs is based on sympathy, although female dogs are more likely to score points here.","Koppelweide 3, 51674 Wiehl, Germany",Tierheim Koppelweide
Cäsar,Terrier-Mischling,"5 years","","",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Donnie,Staffordshire-Mix,"11 years",Male,"Please note: Donnie is only suitable for a shelter-like environment. His new home must offer the opportunity to handle him with safety training (we trained him to wear a muzzle and leash without contact). A fence system is therefore required where Donnie can be kept in contact with people, yet shielded from direct confrontation. A kennel (with a heated indoor enclosure) and, ideally, a dog room with outdoor access are ideal for this.
Donnie was found abandoned. This handsome mixed breed is a very lively, strong, and people-oriented guy who tries very hard to please his two-legged friends. He is used to and loves riding in cars. He can easily run along with familiar dogs.
For Donnie, we are looking for active people with dog experience who can spend a lot of time with him and who feel confident about a four-legged friend with plenty of energy and a hunting instinct. A rural environment would be ideal. Other dogs, cats, and children should not live in the household. Please note that due to his breed, Donnie must be muzzled and kept on a leash, and landlord permission is required for his ownership.
Who would like to give Donnie a chance? Please contact his animal caretakers at +49 30 76 888-173.","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
Chester,Hollandse Herdershond,"1 year","","",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Paula,Terrier Mix,"7 years",Female,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Graf,Staffordshire-Mix,"7 years",Male,"Graf came to us after being confiscated for violating animal protection laws. He now walks quite well on a leash and is easy to train with food. He is accustomed to wearing a muzzle and will need it in the future, even in challenging situations. Graf has difficulty dealing with stress and is prone to displacement behavior or aggression, and can therefore only be rehomed with dog professionals.
Although he is used to walking with a dog group, he will only be rehomed as a single dog. Unfortunately, he dislikes strange dogs at all, but can be led past them with the necessary distance. He also knows basic commands.
We are looking for people with experience with dogs and breeds for Graf. Children and other animals should not live in the household. He is also not suitable for the inner city; a quiet, rural area would be ideal. Due to his breed, landlord permission is required in many places, and he must be muzzled and kept on a leash in public. He should not be played with hunting games. Please note that several visits to the shelter are necessary to rehome Graf.
If you would like to give Graf a home, please send a meaningful email to tiervermittlung@tierschutz-berlin.de, including your telephone number and a description of your living conditions and any experience with the breed, or carefully fill out the form below. We look forward to hearing from you!","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
H24-007 Timmy,Labrador,"6 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Anusch,Mischling,"4 years",Female,"The lovable Anusch is initially rather reserved around strangers. Even with people she knows, this sweet dog needs some time to gain trust. But with a bribe, Anusch can be persuaded to give her a little petting.
We are looking for a quieter home for Anusch, as she needs to gradually get used to life with a human. Loud and numerous stimuli are still a bit overwhelming for her at the moment.
Anusch can already walk well on a leash and enjoys sniffing around.","Eichholz, 70794 Filderstadt, Germany",Tierschutzverein Tierfreunde Filderstadt e.V.
Toto,Mischling,"10 years",Male,Toto came to the shelter due to circumstances. He's a quiet fellow who wants to start over.,"39218 Schönebeck (Elbe), Deutschland",Tierheim Schönebeck
Charles,Dogo Canario,"10 years",Male,"Charles, real name PRINCE Charles, came to us after being confiscated for violating animal protection laws. This handsome brindle male dog doesn't like strangers. He is very friendly with familiar people and enjoys being petted and receiving attention. He connects with women more quickly than with men. Despite this soft inner core, you have to earn his trust. He is aggressive towards both other dogs and strangers—whether passersby or joggers—and should not be underestimated: Charles knows how big and powerful he is. He also dislikes children, neither on the street nor in his home.
Therefore, he needs a human who won't be intimidated or unsettled by this. He must always wear a muzzle when walking, but walks well on a leash as long as he can keep a distance of 5 meters from other dogs. He gets along well with female dogs if they like him, but should preferably live alone in his new home. He chases cats and usually doesn't react at all to birds. The male has discovered his great love in the water: He loves to swim and jumps into his pool with great joy.
Generally speaking, Charles is a smart, eager-to-learn dog with whom there is certainly still a lot to learn. Therefore, we are only rehoming him with confident owners who are experienced with dogs and already know how to deal with difficult and large dogs. He needs a home in a more rural setting, ideally a house with a securely fenced garden. Children should not live in the household. Charles's adjustment period will be rather lengthy and difficult; he often reacts insecurely and stressed in unfamiliar surroundings and when the light changes, so he will need time to settle in. However, he can also be left alone for a few hours. Although Charles is often seen as a pure guard dog due to his size, we do not want to rehome him as such, but rather as a member of the family. This handsome male wants to be close to his people. Please plan several visits to the shelter to get to know him. Charles will only be adopted after a preliminary check. Furthermore, the veterinary office will be informed of his future stay based on his medical history.
We are certain: There is a perfect home for Charles, too. Do you have any questions or are you interested? Please contact his animal caretakers at Benji-Haus by phone at +49 30 76 888-212 or fill out the inquiry form below. We look forward to hearing from you.","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
Elli,Schäferhund,"6 years",Female,"Elli is our loving whirlwind. This pretty German Shepherd is a real cuddly toy, but we mustn't forget why she ended up with us at the shelter. She has a problem, and that is her explosive power.





","Augustfehner Straße 8, 26670 Uplengen, Germany",Tierheim Jübberde
Benny,Jack Russel Terrier,"7 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Zeus,Hollandse Herdeshond,"6 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Ängstlicher Loki sucht Pflegestelle oder Zuhause,Mischling,"4 years",Male,"Loki is one of nine puppies we took in from Croatia, along with their mother. The large family was found in a Croatian junkyard – their luck, because otherwise they would hardly have survived. Loki came to our farm in May and spent weeks trembling in his basket, afraid of everyone and everything. Since then, we've trained Loki a lot, all at his own pace, and he's become more outgoing and enjoys spending time with his people (he has a few favorites). He needs lots of cuddles and spends a lot of time with us around the farm so he can get to know everything. He now lets us put a harness on him and can even go for short walks with his familiar people. Loki is still a fearful dog. He's afraid of every noise and stranger and retreats, but then he comes out again because he is somewhat curious. He trusts his people so much that he no longer needs to hide completely. He's already been around an apartment and gotten used to getting into a car, which he still finds scary. Everything is being practiced slowly and at his own pace. Anyone who wants to meet Loki will need to come here often to build the necessary trust. We would like Loki to have a house or apartment with a garden, as he won't be able to go for walks at first. It should be in a quiet, rural location; calm children aged 12 and up would be fine. Experience with fearful dogs is a must. Unfortunately, we don't know how he reacts to cats. He enjoys the company of smaller dogs, especially females. If there's already a small, confident dog in the household, that would be ideal. Loki still needs to learn all the basics of dog training, very slowly. It will be tiring and challenging, and there may always be setbacks. He's not yet house-trained, as he's never lived in an apartment before. Who would like to give Loki a chance and get to know him? Please contact Martina Achilles at 0162-7100897 or by email at aktivverein@aktiv-fuer-hunde-in-not.de. Videos of Loki are already available on our website: https://www.aktiv-fuer-hunde-in-not.de/vermittlung-hunde/loki","Mitteldorfstraße 2, 37127 Niemetal, Deutschland",Aktiv für Hunde in Not e.V.
Astor,Mischling,"",Male,"Astor comes from our friend Bea in Slovakia. Unfortunately, he was injured in a fight at our animal shelter. His wounds required veterinary treatment. Since then, he has been afraid of strange dogs. Nevertheless, he lives with a female dog. Astor is reserved around strangers; you have to convince him that you have his best interests at heart. He enjoys long, extensive walks, just like his people. We are looking for people with experience with dogs for Astor, but without small children. A well-behaved female dog that Astor can look up to would certainly be an advantage.","Beim Tierheim 1, 78532 Tuttlingen, Germany",Kreistierschutzverein Tuttlingen u.U. e.V.
Paula,Jack Russell Terrier,"6 years",Female,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Cox ,Labbi-Mix,"7 years",Male,"Cox is a very sweet, approximately 6-year-old, cuddly Labrador mix. He loves going for walks, although commands and leash training still need to be improved. Cox is moderately sociable and requires a muzzle for vet visits. He is very sweet and cuddly with his caregivers. Due to his history, Cox unfortunately has a problem with a certain type of man, which would need to be tested if he is interested. With women, Cox is an absolute dream dog and will put up with anything. He is always willing to be trained, given the right bribe.","Breitfeld 2, 94447 Plattling, Deutschland",Tierheim Plattling
Filly,Collie-Mix,"10 years",Female,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Bo,Kangal,"6 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Michel,Kaukasischer Owtscharka,"6 years",Male,"This handsome male is currently a shell of his former self. Without a firm footing in life, he doesn't yet know what to do. Bought as an eight-week-old puppy, Michel was meant to do exactly what a livestock guardian is meant to do – guard goats and the property that surrounds them. A dog that is allowed to do the exact job for which its breed was originally bred is something we certainly welcome – but only if it is approached correctly.  Unfortunately, this was not the case in Michel's case.  Apart from the two Ovcharka bitches that also lived on the property, as well as the owners and their families, Michel didn't get to know anything (apart from his job of guarding). So Michel lived and functioned within his system until the mood changed.
After a full-blown bite incident, his fear of the male dog became too great. Michel was locked away on the farm. As is typical for many dogs for whom we and other animal shelters across Germany request placement, in Michel's case, too, the authorities did not want to tackle the problem together with the dog. Experts called in spoke out against official euthanasia because the dog was not dangerous. So Michel remained in his shed until the authorities insisted that he be surrendered.
Without any environmental socialization, the imposing male dog was completely shocked by the existence of a world outside his garden. Since arriving at the animal shelter, Michel has repeatedly faced what he sees as insurmountable hurdles. Even the slightest touch of his collar, people in his kennel, pulling on the leash, or similar things that are normally everyday for dogs trigger panic in Michel, flight, and, in certain situations, defensive behavior. Michel was not allowed to experience anything, never learned how to learn, and on the other hand, never had to endure anything. As a result, he has no problem-solving skills or problem-management skills.
Even though Michel's claws have already left a few dents in our lives, we agree with the expert opinion that prevented Michel's death and are happy that we can now show him the world. We're already seeing initial successes, and the progress is in some cases greater and faster than expected. Nevertheless, it requires patience, perseverance, and a well-fitting muzzle from everyone involved.","Wailandtstraße 15, 63741 Aschaffenburg, Deutschland",Tierheim Aschaffenburg
Prisca,Malinois,"6 years",Female,"Prisca wasn't supposed to be alive anymore. She was in a kill shelter in France, and the date for her last injection was practically already set.





","Eichholz, 70794 Filderstadt, Germany",Tierschutzverein Tierfreunde Filderstadt e.V.
Timy,Labrador-Mix,"8 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Charly,Labrador-DSH-Mix,"6 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
H23-097 Jumper,Rottweiler,"4 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
H24-023 Lissi,American Akita,"5 years",Female,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Sira,Mischling,"11 months",Female,"Unfortunately, the graceful dog Sira had little contact with people in her first weeks of life. Therefore, during her first few weeks with us, she found it unusual to cooperate with people and reacted fearfully.
Despite her progress, Sira is still very fearful of strangers. So, she definitely needs a little time and patience to get to know them.
Other dogs are especially important to Sira. She gets along well with all other dogs and is very attached to her canine friends. She is also learning how to interact with people through confident dogs, and this is helping her enormously with her development. Therefore, we would like to place Sira in a multi-dog home.
In addition to her fearful side, Sira can also be alert. She immediately alerts strangers by barking—which is why she will likely bark a little in her future home as well. However, the barking will only last for a limited time.","Eichholz, 70794 Filderstadt, Germany",Tierschutzverein Tierfreunde Filderstadt e.V.
Ronny,Staffordshire-Mix,"6 years",Male,"Ronny came to the Berlin animal shelter after being confiscated for violating animal protection laws. Unfortunately, he has already been involved in a single bite incident.
This strong male is obedient and attentive, but he is initially skeptical of strangers. Interested parties should therefore plan several visits to the shelter to get to know him in peace.
For Ronny, we are looking for people with extensive experience with the breed who can offer him consistently confident and clear leadership. His basic obedience also needs work. Ronny dislikes other male dogs at all. Please note that Ronny is subject to muzzle and leash requirements, and in Berlin, landlord permission is required for his ownership. He is not suitable for children at all.
If you are interested in Ronny, please contact his animal caretakers at the Reha-Haus by phone at +49 30 76 888-204 or -173. We look forward to your inquiry!","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
Klaus,Schäferhund-Mix,"7 years",Male,"Our Klaus is a model student and has blossomed from a distrustful dog into a docile, loyal fellow. After a period of adjustment, he has shown himself to be a willing learner who is friendly and obedient to people he trusts. His exuberant nature and working with him are great fun.
In his previous life, he only ever trusted a very few select people, whom he had known since his puppyhood. His insecurity probably led him to try to bite. He rarely allowed strangers to visit him. His previous home was probably too unsafe for him, which rubbed off on him. With secure and confident guidance, Klaus can also relax and accepts this gratefully. Nevertheless, you should be aware that Klaus may be prone to jealousy again in his new home.
At just under 40 kilos, further work should be done on his leash training. He's used to being left alone for hours at a time, as well as traveling in cars, buses, and trains. He's generally friendly toward other dogs, but can, of course, be provoked by large, fussy males. Since Klaus is an intelligent little fellow, he can also open doors and jump over fences. His property must therefore be securely fenced and fenced high enough.
For our Klaus, we're looking for loving, patient people who have experience with difficult dogs and enjoy training and plenty of exercise. A quiet household without many visitors and children in a quiet or even rural area would be ideal.","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
